,0
689,0.124057226
690,0.12847856
691,0.12977894
692,0.13055916
693,0.13758127
694,0.23094931
695,0.23875162
696,0.23589078
697,0.23953187
698,0.2330299
699,0.26579973
700,0.46710017
701,0.52665806
702,0.50091034
703,0.3586476
704,0.3029909
705,0.3019506
706,0.30611187
707,0.33602083
708,0.32067624
709,0.34954488
710,0.3815345
711,0.3825748
712,0.38101435
713,0.37919375
714,0.37685308
715,0.37815347
716,0.37581277
717,0.37633294
718,0.376593
719,0.38309497
720,0.38569576
721,0.39141744
722,0.40494153
723,0.4816645
724,0.513134
725,0.523017
726,0.5237972
727,0.546424
728,0.5383616
729,0.5378414
730,0.5375813
731,0.5407023
732,0.5417426
733,0.5581275
734,0.54252285
735,0.5394019
736,0.5368011
737,0.54122245
738,0.5438232
739,0.54408324
740,0.549805
741,0.5492849
742,0.5433031
743,0.5417426
744,0.54226273
745,0.54408324
746,0.54564375
747,0.5417426
748,0.5417426
749,0.53185964
750,0.5115735
751,0.5110534
752,0.5001301
753,0.49960986
754,0.53446037
755,0.54590386
756,0.55682707
757,0.55786747
758,0.5583876
759,0.5781535
760,0.5703512
761,0.5677504
762,0.57087135
763,0.5711314
764,0.57347214
765,0.56046826
766,0.55552673
767,0.51131344
768,0.5089727
769,0.51027316
770,0.5110534
771,0.5050716
772,0.47334203
773,0.47412226
774,0.47282186
775,0.47152147
776,0.4988297
777,0.48478547
778,0.48140445
779,0.4816645
780,0.4795839
781,0.44759429
782,0.4169051
783,0.40052018
784,0.39817947
785,0.3872562
786,0.36124837
787,0.36150846
788,0.35968792
789,0.36176857
790,0.3602081
791,0.3518856
792,0.35110536
793,0.3518856
794,0.35084528
795,0.35110536
796,0.3526658
797,0.3482445
798,0.35474643
799,0.35448638
800,0.35474643
801,0.3576073
802,0.35604683
803,0.3542263
804,0.35344604
805,0.33315998
806,0.3245774
807,0.32197663
808,0.31781536
809,0.31027308
810,0.2897269
811,0.2897269
812,0.29648897
813,0.30013007
814,0.29804945
815,0.2996099
816,0.30039012
817,0.29908973
818,0.30013007
819,0.29804945
820,0.37087128
821,0.36540964
822,0.39739925
823,0.4169051
824,0.42210665
825,0.44343308
826,0.4535761
827,0.49570873
828,0.60806245
829,0.46007806
830,0.44941485
